--- Starting ZAQAL Agile V1.0 Simulation ---
CORE EXECUTE: pc=0000000000000240 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000244 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000248 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=000000000000024c inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000250 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000254 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000258 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=000000000000025c inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000260 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000264 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000268 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=000000000000026c inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000270 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000274 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000278 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=000000000000027c inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000280 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000284 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000288 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=000000000000028c inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000290 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000294 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000298 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=000000000000029c inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000002a0 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000002a4 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000002a8 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000002ac inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000002b0 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000002b4 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000002b8 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000002bc inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000002c0 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000002c4 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000002c8 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000002cc inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000002d0 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000002d4 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000002d8 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000002dc inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000002e0 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000002e4 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000002e8 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000002ec inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000002f0 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000002f4 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000002f8 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000002fc inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000300 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000304 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000308 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=000000000000030c inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000310 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000314 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000318 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=000000000000031c inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
--- Simulation Finished. CSV generated: ftq_dump.csv ---
